Wall time,Step,Value
1731225243.6886737,12034,-144.2315216064453
1731225244.3579924,12065,-141.0263671875
1731225246.4210124,12162,-148.16006469726562
1731225246.9620106,12188,-143.71241760253906
1731225247.0323212,12192,-141.49359130859375
1731225247.3788636,12208,-139.4354705810547
1731225248.3164937,12250,-142.90701293945312
1731225249.6450884,12314,-138.2892303466797
1731225249.7022703,12317,-145.52603149414062
1731225250.0606089,12333,-137.53892517089844
1731225252.0816958,12429,-139.43540954589844
1731225253.1878412,12482,-141.0734405517578
1731225257.6919396,12695,-138.06089782714844
1731225258.2730167,12723,-142.82647705078125
1731225260.6243355,12829,-143.6610107421875
1731225262.1844947,12901,-139.59478759765625
1731225263.4505427,12963,-138.39212036132812
1731225265.0687582,13041,-139.05337524414062
1731225265.4599612,13058,-141.5641632080078
1731225266.0487916,13085,-137.96279907226562
1731225266.5040164,13106,-144.2967987060547
1731225266.7334354,13118,-139.16683959960938
1731225267.066228,13133,-143.0852508544922
1731225268.2329652,13190,-140.88084411621094
1731225269.8199794,13263,-137.44406127929688
1731225272.1795342,13373,-139.6013946533203
1731225273.3485599,13426,-145.05494689941406
1731225273.4205635,13430,-137.33218383789062
1731225275.4825509,13528,-140.40994262695312
1731225276.314397,13570,-140.86790466308594
1731225277.4080408,13621,-142.67137145996094
1731225277.9118445,13644,-141.88894653320312
1731225279.1976085,13703,-140.3026123046875
1731225279.2531204,13706,-137.02978515625
1731225281.2400172,13800,-142.2421875
1731225281.9561234,13834,-138.8878173828125
1731225282.6693916,13869,-137.5431365966797
1731225283.5135148,13908,-137.9123992919922
1731225285.4703977,14000,-135.8804473876953
1731225285.862364,14022,-140.82119750976562
1731225287.8057616,14104,-139.19088745117188
1731225290.7500534,14245,-143.64805603027344
1731225292.1756108,14311,-143.5994873046875
1731225292.312754,14318,-139.34234619140625
1731225292.554157,14327,-140.58985900878906
1731225292.8760571,14344,-140.3413543701172
1731225293.2627702,14362,-137.0998077392578
1731225294.4847696,14421,-140.90618896484375
1731225295.5432,14471,-140.51577758789062
1731225296.536935,14518,-144.04290771484375
1731225297.9316285,14581,-138.46182250976562
1731225299.5115368,14656,-136.60891723632812
1731225299.6230493,14662,-140.40911865234375
1731225300.2367132,14692,-141.09523010253906
1731225300.485353,14701,-136.79354858398438
1731225300.6673708,14711,-138.6955108642578
1731225302.6617846,14803,-136.24603271484375
1731225302.8433084,14812,-139.0898895263672
1731225302.9174352,14816,-134.23846435546875
1731225303.3052526,14833,-143.43190002441406
1731225304.6066096,14897,-143.29229736328125
1731225305.030009,14916,-137.38388061523438
1731225307.8835356,15051,-135.21847534179688
1731225309.2206724,15114,-140.83433532714844
1731225310.2228477,15160,-139.60765075683594
1731225311.153432,15204,-139.60415649414062
1731225312.9263546,15290,-140.822021484375
1731225314.164144,15348,-142.62962341308594
1731225317.3433099,15497,-140.28114318847656
1731225317.3850513,15499,-137.5265350341797
1731225318.1112297,15531,-137.2223663330078
1731225318.7852647,15562,-138.00083923339844
1731225320.0343006,15621,-151.59730529785156
1731225323.0717492,15764,-138.22354125976562
1731225323.582073,15788,-147.5400848388672
1731225323.7638128,15797,-134.03025817871094
1731225324.9854515,15852,-136.1737060546875
1731225328.1336672,16003,-140.32740783691406
1731225328.3898258,16017,-135.62762451171875
1731225330.5446687,16119,-141.57586669921875
1731225330.9905367,16140,-141.9330291748047
1731225333.7766783,16273,-139.6727752685547
1731225335.2998564,16345,-139.69618225097656
1731225335.7639742,16367,-138.2152862548828
1731225336.1476197,16384,-140.74801635742188
1731225337.1626077,16430,-140.5894012451172
1731225337.8538585,16464,-138.7777557373047
1731225339.2447147,16529,-141.33621215820312
1731225340.99306,16609,-137.24937438964844
1731225342.5888953,16685,-142.89149475097656
1731225343.3271234,16721,-142.67477416992188
1731225345.776123,16832,-136.0081024169922
1731225345.7951243,16833,-138.01708984375
1731225346.5107582,16867,-139.66741943359375
1731225346.8553925,16881,-136.63400268554688
1731225347.7259917,16923,-142.73370361328125
1731225351.309196,17090,-137.91786193847656
1731225351.9308891,17121,-134.4312286376953
1731225352.709707,17155,-134.71217346191406
1731225354.980579,17263,-137.29714965820312
1731225355.6641502,17296,-142.96009826660156
1731225356.0690734,17314,-143.6888427734375
1731225356.1035802,17316,-138.71766662597656
1731225356.6029503,17340,-140.68238830566406
1731225356.6209502,17341,-139.01683044433594
